,full_word,pt1,rest
139,tækifærið,tækifæri,ð
140,menntamálin,menntamál,in
141,greiningar,greining,ar
142,árið,ár,ið
143,borgað,borga,ð
144,hlítar,hlít,ar
145,dæmis,dæmi,s
146,stórt,stór,t
147,fjárhæðir,fjárhæð,ir
148,stjórnarmeirihlutinn,stjórnarmeirihluti,nn
149,málum,mál,um
150,sjúkrahúsum,sjúkrahús,um
151,kynferðisofbeldis,kynferðisofbeldi,s
152,lamasessi,lamasess,i
153,spurningu,spurning,u
154,mati,mat,i
155,skuldaniðurfellingum,skuldaniðurfelling,um
156,varðar,varða,r
157,gjalda,gjald,a
158,meirihlutaálitið,meirihlutaálit,ið
159,vitað,vita,ð
160,skattkerfið,skattkerfi,ð
161,velferðarnefndar,velferðarnefnd,ar
162,heilbrigðismálunum,heilbrigðismál,unum
163,lífeyrisskuldbindingum,lífeyrisskuldbinding,um
164,stjórnarliðinu,stjórnarlið,inu
165,hvers,hver,s
166,vonast,vona,st
167,annarra,annar,ra
168,framkvæmdarvaldsins,framkvæmdarvald,sins
169,spurningum,spurning,um
170,lífeyristryggingarnar,lífeyristrygging,arnar
171,tryggingarnar,trygging,arnar
172,aukningum,aukning,um
173,spurningarnar,spurning,arnar
174,upphafi,upphaf,i
175,sinnar,sinn,ar
176,lækkaðir,lækka,ðir
177,nýtast,nýta,st
178,einhverjar,einhver,jar
179,sanngjarnan,sanngjarn,an
180,minnast,minna,st
181,lokin,lok,in
182,ári,ár,i
183,spilin,spil,in
184,veskið,veski,ð
185,meðferðina,meðferð,ina
186,stéttaskiptingu,stéttaskipting,u
187,landi,land,i
188,andsvarið,andsvar,ið
189,aðgerðir,aðgerð,ir
190,samfélagið,samfélag,ið
191,flöktið,flökt,ið
192,árum,ár,um
193,áliti,álit,i
194,atvinnuveganefndar,atvinnuveganefnd,ar
195,leiðbeiningar,leiðbeining,ar
196,umhverfis-,umhverfi,s-
197,kallað,kalla,ð
198,upplýsingum,upplýsing,um
199,lagningu,lagning,u
200,berjast,berja,st
201,þings,þing,s
202,handafli,handafl,i
203,kallinn,kall,inn
204,nafni,nafn,i
205,rammaáætlunar,rammaáætlun,ar
206,meirihlutaálitinu,meirihlutaálit,inu
207,færa,fær,a
208,augljóst,augljós,t
209,augljósast,augljós,ast
210,kallast,kalla,st
211,laxastofninn,laxastofn,inn
212,rannsóknir,rannsókn,ir
213,kallaði,kalla,ði
214,sveitarfélaga,sveitarfélag,a
215,málunum,mál,unum
216,frumvarpinu,frumvarp,inu
217,efast,efa,st
218,nefndar,nefnd,ar
219,byggðir,byggð,ir
220,sessi,sess,i
221,sagan,saga,n
222,lausnin,lausn,in
223,formi,form,i
224,frjálsari,frjáls,ari
225,smábátahlutfallið,smábátahlutfall,ið
226,frumvarpi,frumvarp,i
227,skiptinguna,skipting,una
228,stærðar,stærð,ar
229,auðlinda,auðlind,a
230,ráðuneytinu,ráðuneyti,nu
231,framkvæmda,framkvæmd,a
232,ályktar,álykta,r
233,umhverfismati,umhverfismat,i
234,heilbrigðismálin,heilbrigðismál,in
235,landinu,land,inu
236,árin,ár,in
237,hagurinn,hagur,inn
238,vænkast,vænka,st
239,heilbrigðiskerfið,heilbrigðiskerfi,ð
240,skoðanakönnunum,skoðanakönnun,um
241,höfuðið,höfuð,ið
242,rauninni,raun,inni
243,styrinn,styr,inn
244,lögum,lög,um
245,vinnubrögðum,vinnubrögð,um
246,virðingu,virðing,u
247,lyktar,lykta,r
248,aðgerða,aðgerð,a
249,nálgunarbanni,nálgunarbann,i
250,hraði,hrað,i
251,nefnda,nefnd,a
252,lagað,laga,ð
253,leiðina,leið,ina
254,hegningarlögin,hegningarlög,in
255,flækjustigið,flækjustig,ið
256,morgunljóst,morgunljós,t
257,ráðherrann,ráðherra,nn
258,skipulags,skipulag,s
259,ástæðulaust,ástæðulaus,t
260,nefndanna,nefnd,anna
261,algjört,algjör,t
262,talar,tala,r
263,fáist,fá,ist
264,leitast,leita,st
265,aflaheimildum,aflaheimild,um
266,eilífðarnóns,eilífðarnón,s
267,haggað,hagga,ð
268,skulum,skulu,m
269,staðan,staða,n
270,teiknast,teikna,st
271,verkefnisstjórnir,verkefnisstjórn,ir
272,ætlar,ætla,r
273,verkefnisstjórnarinnar,verkefnisstjórn,arinnar
274,hugmyndir,hugmynd,ir
275,markaðssetningu,markaðssetning,u
276,móti,mót,i
277,verði,verð,i
278,verðteygnin,verðteygni,n
279,gistingu,gisting,u
280,lagasetningar,lagasetning,ar
281,tilliti,tillit,i
282,afleiðinga,afleiðing,a
283,verkefnið,verkefni,ð
284,frjálsar,frjáls,ar
285,samfélagi,samfélag,i
286,leiðinni,leið,inni
287,kvótasetningu,kvótasetning,u
288,útgerðirnar,útgerð,irnar
289,fyrirtækin,fyrirtæki,n
290,heimildirnar,heimild,irnar
291,gistináttagjaldið,gistináttagjald,ið
292,upphæðina,upphæð,ina
293,eftirliti,eftirlit,i
294,vandamálið,vandamál,ið
295,hverjir,hver,jir
296,boði,boð,i
297,verkefnin,verkefni,n
298,uppleggið,upplegg,ið
299,eftirlitið,eftirlit,ið
300,höndum,hönd,um
301,leyfisveitingar,leyfisveiting,ar
302,sviðum,svið,um
303,ýmiss,ýmis,s
304,uppbyggingu,uppbygging,u
305,heildarplani,heildarplan,i
306,landsskipulagi,landsskipulag,i
307,stefnan,stefna,n
308,aðalatriðið,aðalatriði,ð
309,nota,not,a
310,línuleiðum,línuleið,um
311,blaðs,blað,s
312,verndar-,vernd,ar-
313,nýtingar,nýting,ar
314,áætlunin,áætlun,in
315,fjallað,fjalla,ð
316,miðað,miða,ð
317,verkefnisstjórnar,verkefnisstjórn,ar
318,einhvers,einhver,s
319,stórra,stór,ra
320,frábært,frábær,t
321,frjálsum,frjáls,um
322,verðið,verð,ið
323,virðast,virða,st
324,öskustónni,öskustó,nni
325,ríkisstjórnarborðið,ríkisstjórnarborð,ið
326,ráðherrarnir,ráðherra,rnir
327,valdið,vald,ið
328,meikar,meika,r
329,kosningum,kosning,um
330,miðinn,miði,nn
331,þessir,þessi,r
332,ráðherrar,ráðherra,r
333,málstofan,málstofa,n
334,umræðan,umræða,n
335,skoðaðir,skoða,ðir
336,landsneti,landsnet,i
337,biðjast,biðja,st
338,afsökunar,afsökun,ar
339,ætlað,ætla,ð
340,skilyrðingar,skilyrðing,ar
341,fjárlaganefndar,fjárlaganefnd,ar
342,svari,svar,i
343,passað,passa,ð
344,spítalinn,spítali,nn
345,þyngslin,þyngsli,n
346,einhvern,einhver,n
347,loftinu,loft,inu
348,fjárlagafrumvarpinu,fjárlagafrumvarp,inu
349,milljónir,milljón,ir
350,reiknast,reikna,st
351,óljóst,óljós,t
352,atriðið,atriði,ð
353,fiskurinn,fiskur,inn
354,hnífurinn,hnífur,inn
355,endurskoðunar,endurskoðun,ar
356,greipum,greip,um
357,úthlutunina,úthlutun,ina
358,talað,tala,ð
359,svarað,svara,ð
360,sambandinu,samband,inu
361,nefndarálitinu,nefndarálit,inu
362,lausir,laus,ir
363,áminningu,áminning,u
364,óskað,óska,ð
365,hugmyndina,hugmynd,ina
366,vinnufyrirkomulaginu,vinnufyrirkomulag,inu
367,kerfisáætluninni,kerfisáætlun,inni
368,samgönguáætlunar,samgönguáætlun,ar
369,fyrirkomulags,fyrirkomulag,s
370,vissu,viss,u
371,millibili,millibil,i
372,breytast,breyta,st
373,reglugerðum,reglugerð,um
374,valkostagreiningu,valkostagreining,u
375,munum,munu,m
376,liðum,lið,um
377,línuleiðir,línuleið,ir
378,miðhálendið,miðhálendi,ð
379,stofnunum,stofnun,um
380,starfað,starfa,ð
381,línulögnum,línulögn,um
382,leiðarljósi,leiðarljós,i
383,ferlinu,ferli,nu
384,verkefnisstjórnin,verkefnisstjórn,in
385,lögin,lög,in
386,dómskerfið,dómskerfi,ð
387,landsskipulags,landsskipulag,s
388,nefndinni,nefnd,inni
389,eðlis,eðli,s
390,flutningskerfin,flutningskerfi,n
391,spennan,spenna,n
392,hvort,hvor,t
393,ára,ár,a
394,hlutfallið,hlutfall,ið
395,leiðin,leið,in
396,byggðasjónarmiðum,byggðasjónarmið,um
397,aflaheimildanna,aflaheimild,anna
398,fari,far,i
399,dýrt,dýr,t
400,andlitið,andlit,ið
401,sækjast,sækja,st
402,upplifunin,upplifun,in
403,furðar,furða,r
404,meginmáli,meginmál,i
405,safnar,safna,r
406,ferðum,ferð,um
407,einhverri,einhver,ri
408,oftast,oft,ast
409,fastar,fast,ar
410,orði,orð,i
411,lagi,lag,i
412,lausnir,lausn,ir
413,kollvarpar,kollvarpa,r
414,greina,grein,a
415,skýringar,skýring,ar
416,munurinn,munur,inn
417,kerfinu,kerfi,nu
418,kerfin,kerfi,n
419,ábendingum,ábending,um
420,nefndina,nefnd,ina
421,internetið,internet,ið
422,sveitarstjórnarstigi,sveitarstjórnarstig,i
423,sniðið,snið,ið
424,sniði,snið,i
425,virkað,virka,ð
426,kerfið,kerfi,ð
427,vandinn,vandi,nn
428,styrkjast,styrkja,st
429,upplýsingarnar,upplýsing,arnar
430,upphæðir,upphæð,ir
431,samfélaginu,samfélag,inu
432,heilbrigðiskerfinu,heilbrigðiskerfi,nu
433,kýrskýrt,kýrskýr,t
434,þjóðum,þjóð,um
435,menntakerfið,menntakerfi,ð
436,forgangsröðunin,forgangsröðun,in
437,sjónarmiði,sjónarmið,i
438,tilgangurinn,tilgangur,inn
439,internetinu,internet,inu
440,víðar,víða,r
441,tæknin,tækni,n
442,afleiðingar,afleiðing,ar
443,gjörða,gjörð,a
444,skulda-,skuld,a-
445,eigna,eign,a
446,markmiði,markmið,i
447,standast,standa,st
448,einkalífsins,einkalíf,sins
449,stuðlað,stuðla,ð
450,vandamáli,vandamál,i
451,samráði,samráð,i
452,víst,vís,t
453,togstreitan,togstreita,n
454,samfélags,samfélag,s
455,veiðigjaldið,veiðigjald,ið
456,auðlindagjaldið,auðlindagjald,ið
457,kvótakerfinu,kvótakerfi,nu
458,veiðiheimildum,veiðiheimild,um
459,þjóðareignir,þjóðareign,ir
460,lýðræðið,lýðræði,ð
461,einstaklingsfrelsið,einstaklingsfrelsi,ð
462,endurspeglast,endurspegla,st
463,vonaði,vona,ði
464,hruni,hrun,i
465,hreyfingin,hreyfing,in
466,kyns,kyn,s
467,tíðina,tíð,ina
468,tækniþróuninni,tækniþróun,inni
469,sjúkraskrár,sjúkraskrá,r
470,viðhaldi,viðhald,i
471,kerfisins,kerfi,sins
472,dugar,duga,r
473,alvörugögnum,alvörugögn,um
474,breytingar,breyting,ar
475,viðrað,viðra,ð
476,allsherjar-,allsherjar,-
477,menntamála,menntamál,a
478,baunað,bauna,ð
479,meðalhófi,meðalhóf,i
480,starfa,starf,a
481,notaðar,nota,ðar
482,áhrifin,áhrif,in
483,ákvörðununum,ákvörðun,unum
484,vaðandi,vaða,ndi
485,stjórnarskrárbreytingum,stjórnarskrárbreyting,um
486,breytinga,breyting,a
487,kosningarbærs,kosningarbær,s
488,fólks,fólk,s
489,breytingum,breyting,um
490,stjórnarskránni,stjórnarskrá,nni
491,stjórnarskráin,stjórnarskrá,in
492,lýðveldisins,lýðveldi,sins
493,ætlaði,ætla,ði
494,bankahruninu,bankahrun,inu
495,bóta,bót,a
496,laga,lag,a
497,greinum,grein,um
498,heimildir,heimild,ir
499,laganna,lag,anna
500,neytendamála,neytendamál,a
501,stjórnvaldsákvörðunum,stjórnvaldsákvörðun,um
502,ætlaður,ætla,ður
503,stofnunarinnar,stofnun,arinnar
504,leikritið,leikrit,ið
505,efnahagurinn,efnahagur,inn
506,talaður,tala,ður
507,efnahagsmálum,efnahagsmál,um
508,vantaði,vanta,ði
509,hruninu,hrun,inu
510,hrunið,hrun,ið
511,langaði,langa,ði
512,skuldavandinn,skuldavandi,nn
513,stoðunum,stoð,unum
514,verðtryggingu,verðtrygging,u
515,hljómar,hljóma,r
516,markmiðið,markmið,ið
517,skatturinn,skattur,inn
518,handahófi,handahóf,i
519,niðurlaginu,niðurlag,inu
520,fjármálum,fjármál,um
521,varað,vara,ð
522,verðbólgan,verðbólga,n
523,spurningin,spurning,in
524,minnkað,minnka,ð
525,venjast,venja,st
526,fræðandi,fræða,ndi
527,aðferðir,aðferð,ir
528,verkum,verk,um
529,batnar,batna,r
530,versnar,versna,r
531,maðurinn,maður,inn
532,háværir,hávær,ir
533,fortíðinni,fortíð,inni
534,hverjar,hver,jar
535,útgjöldin,útgjöld,in
536,einhverju,einhver,ju
537,eflingar,efling,ar
538,menntakerfinu,menntakerfi,nu
539,halli,hall,i
540,hallinn,halli,nn
541,minnkar,minnka,r
542,hugmyndin,hugmynd,in
543,ríkisstjórnina,ríkisstjórn,ina
544,aðalvandamálið,aðalvandamál,ið
545,misjafnar,misjafn,ar
546,verðtryggingunni,verðtrygging,unni
547,verðskynið,verðskyn,ið
548,gengisfellingarnar,gengisfelling,arnar
549,útskýringar,útskýring,ar
550,þjóðinni,þjóð,inni
551,blöskrar,blöskra,r
552,stöðvað,stöðva,ð
553,fyrirmyndar,fyrirmynd,ar
554,brota,brot,a
555,stjórnarskrár,stjórnarskrá,r
556,þróunin,þróun,in
557,bili,bil,i
558,haustþingi,haustþing,i
559,njósnum,njósn,um
560,ástandinu,ástand,inu
561,lausnamiðaðar,lausnamiða,ðar
562,máls,mál,s
563,reynslan,reynsla,n
564,formið,form,ið
565,hefðirnar,hefð,irnar
566,vinnubrögðin,vinnubrögð,in
567,helgina,helgi,na
568,samþykkis,samþykki,s
569,niðurstaðan,niðurstaða,n
570,notaðir,nota,ðir
571,náð,ná,ð
572,skipi,skip,i
573,milljónum,milljón,um
574,lofti,loft,i
575,frumvarpsins,frumvarp,sins
576,ráðast,ráða,st
577,neyðarástandi,neyðarástand,i
578,kljást,kljá,st
579,markmiðum,markmið,um
580,stjórnvalda,stjórnvald,a
581,flokkast,flokka,st
582,þingsköpum,þingsköp,um
583,ræðupúlti,ræðupúlt,i
584,hjartans,hjarta,ns
585,þrýstingurinn,þrýstingur,inn
586,eyrað,eyra,ð
587,endað,enda,ð
588,málin,mál,in
589,skýrari,skýr,ari
590,einhverrar,einhver,rar
591,undirskriftir,undirskrift,ir
592,einni,einn,i
593,upptalningar,upptalning,ar
594,banni,bann,i
595,lútandi,lúta,ndi
596,grínast,grína,st
597,hæðast,hæða,st
598,tjáningarfrelsið,tjáningarfrelsi,ð
599,smánar,smána,r
600,trúarkenningar,trúarkenning,ar
601,trúarbragðafélags,trúarbragðafélag,s
602,sektum,sekt,um
603,fyrirlagi,fyrirlag,i
604,bannað,banna,ð
605,framtíðarlausnin,framtíðarlausn,in
606,hallast,halla,st
607,stórefast,stórefa,st
608,gagnrýninni,gagnrýni,nni
609,tjáð,tjá,ð
610,myndað,mynda,ð
611,taugarnar,taug,arnar
612,skorðað,skorða,ð
613,orðum,orð,um
614,athöfnum,athöfn,um
615,brigslum,brigsl,um
616,tilefnis,tilefni,s
617,ærumeiðingum,ærumeiðing,um
618,hegningarlögum,hegningarlög,um
619,réttindin,réttindi,n
620,upptalningu,upptalning,u
621,ógnar,ógna,r
622,tillits,tillit,s
623,skapaðar,skapa,ðar
624,refsingu,refsing,u
625,orðin,orð,in
626,forðast,forða,st
627,einnar,einn,ar
628,annarrar,annar,rar
629,ríkisstjórnar,ríkisstjórn,ar
630,fjallar,fjalla,r
631,stjórnarskrána,stjórnarskrá,na
632,fréttin,frétt,in
633,myndast,mynda,st
634,stigi,stig,i
635,ákvörðunin,ákvörðun,in
636,vinstrimannahlutverkið,vinstrimannahlutverk,ið
637,bankakerfinu,bankakerfi,nu
638,klikkað,klikka,ð
639,öldinni,öld,inni
640,framtíðinni,framtíð,inni
641,kannast,kanna,st
642,hugbúnaðargerðinni,hugbúnaðargerð,inni
643,klukkustundum,klukkustund,um
644,öryggið,öryggi,ð
645,forðað,forða,ð
646,gjaldþroti,gjaldþrot,i
647,hljómað,hljóma,ð
648,andsvarinu,andsvar,inu
649,bókhalds,bókhald,s
650,lokum,lok,um
651,ríkisins,ríki,sins
652,sjálfselskusjónarmiðum,sjálfselskusjónarmið,um
653,umhverfið,umhverfi,ð
654,sjónarmiðum,sjónarmið,um
655,snjallir,snjall,ir
656,lofað,lofa,ð
657,gildismats,gildismat,s
658,dómgreindar,dómgreind,ar
659,gegnsærri,gegnsær,ri
660,kostar,kosta,r
661,spillingu,spilling,u
662,orðið,orð,ið
663,lifað,lifa,ð
664,hverja,hver,ja
665,ábyrgðarákvæðið,ábyrgðarákvæði,ð
666,tíðin,tíð,in
667,grasi,gras,i
668,þroskast,þroska,st
669,tekjuskattskerfinu,tekjuskattskerfi,nu
670,stundum,stund,um
671,samfélagsins,samfélag,sins
672,skuldamálin,skuldamál,in
673,skuldalækkunum,skuldalækkun,um
674,aðgerðirnar,aðgerð,irnar
675,notað,nota,ð
676,skuldir,skuld,ir
677,skapi,skap,i
678,aðgerðum,aðgerð,um
679,rökum,rök,um
680,viðskiptajöfnuðurinn,viðskiptajöfnuður,inn
681,forláts,forlát,s
682,umræðuformið,umræðuform,ið
683,sjónvarpinu,sjónvarp,inu
684,reksturinn,rekstur,inn
685,sanngjarna,sanngjarn,a
686,skattlagningu,skattlagning,u
687,sanngjarnara,sanngjarn,ara
688,sanngjarnt,sanngjarn,t
689,lánað,lána,ð
690,togað,toga,ð
691,levera,lever,a
692,reiknað,reikna,ð
693,skýrara,skýr,ara
694,háttaði,hátta,ði
695,vandamálunum,vandamál,unum
696,upplýsinga,upplýsing,a
697,hagskýrslugerðar,hagskýrslugerð,ar
698,markmiðin,markmið,in
699,húsnæðislána,húsnæðislán,a
700,dýrara,dýr,ara
701,upphæðin,upphæð,in
702,rannsakað,rannsaka,ð
703,áheyrnina,áheyrn,ina
704,krefjast,krefja,st
705,einkalífs,einkalíf,s
706,stærðfræðin,stærðfræði,n
707,tilfinningar,tilfinning,ar
708,legugjaldinu,legugjald,inu
709,varðbergi,varðberg,i
710,atvinnulausir,atvinnulaus,ir
711,desemberuppbótina,desemberuppbót,ina
712,jólunum,jól,unum
713,vonar,vona,r
714,jólin,jól,in
715,myndaðist,mynda,ðist
716,hrunsins,hrun,sins
717,tekjustyrkingar,tekjustyrking,ar
718,takast,taka,st
719,árangurinn,árangur,inn
720,námi,nám,i
721,langtímafjárfestingum,langtímafjárfesting,um
722,aðferðum,aðferð,um
723,langtímafjárfestinga,langtímafjárfesting,a
724,langtímafjárfestingar,langtímafjárfesting,ar
725,ásnum,ás,num
726,skattþrepið,skattþrep,ið
727,miðþrepið,miðþrep,ið
728,miðþrepinu,miðþrep,inu
729,þrepinu,þrep,inu
730,milli-,milli,-
731,leggjast,leggja,st
732,útgjöldum,útgjöld,um
733,vinstrið,vinstri,ð
734,praxísinn,praxís,inn
735,jafnvægið,jafnvægi,ð
736,hugmyndum,hugmynd,um
737,þjóðina,þjóð,ina
738,fáum,fá,um
739,gildismatið,gildismat,ið
740,skárra,skár,ra
741,lagasetningu,lagasetning,u
742,förinni,för,inni
743,skorað,skora,ð
744,nefndir,nefnd,ir
745,tólin,tól,in
746,skoðunina,skoðun,ina
747,reiknilíkanið,reiknilíkan,ið
748,reiknilíkaninu,reiknilíkan,inu
749,niðurhalað,niðurhala,ð
750,velvirðingar,velvirðing,ar
751,tímastjórnin,tímastjórn,in
752,svara,svar,a
753,athugaðar,athuga,ðar
754,planið,plan,ið
755,svarhlutfallið,svarhlutfall,ið
756,tilhneigingu,tilhneiging,u
757,markvissum,markviss,um
758,ætlaðar,ætla,ðar
759,nokkurn,nokkur,n
760,vonlaust,vonlaus,t
761,undirstrikar,undirstrika,r
762,samsæriskenningar,samsæriskenning,ar
763,hugsunarhátturinn,hugsunarháttur,inn
764,takmörkunum,takmörkun,um
765,landslögum,landslög,um
766,sárt,sár,t
767,bannar,banna,r
768,byrjaði,byrja,ði
769,hvarflaði,hvarfla,ði
770,svartnættið,svartnætti,ð
771,starað,stara,ð
772,ósköpunum,ósköp,unum
773,kenningum,kenning,um
774,umræðumenninguna,umræðumenning,una
775,nettengingu,nettenging,u
776,símalaust,símalaus,t
777,vatnslaust,vatnslaus,t
778,rafmagnslaust,rafmagnslaus,t
779,netlaust,netlaus,t
780,tengingu,tenging,u
781,náði,ná,ði
782,fylgjast,fylgja,st
783,skólakerfinu,skólakerfi,nu
784,grunnskólamenntamálin,grunnskólamenntamál,in
785,skýra,skýr,a
786,vefjast,vefja,st
787,menntamálanefndar,menntamálanefnd,ar
788,flytjast,flytja,st
789,framtakinu,framtak,inu
790,tilfinningunni,tilfinning,unni
791,ástandið,ástand,ið
792,lánanna,lán,anna
793,ríkisstjórninni,ríkisstjórn,inni
794,óskýrt,óskýr,t
795,slagorðin,slagorð,in
796,heimilin,heimili,n
797,gagnast,gagna,st
798,eignir,eign,ir
799,eignum,eign,um
800,sinna,sinn,a
801,skyni,skyn,i
802,skuldar,skulda,r
803,klisjan,klisja,n
804,forsendubresturinn,forsendubrestur,inn
805,tímabili,tímabil,i
806,lána,lán,a
807,hlutfalli,hlutfall,i
808,láninu,lán,inu
809,árunum,ár,unum
810,þörfina,þörf,ina
811,jöklaferðir,jöklaferð,ir
812,hestaferðir,hestaferð,ir
813,hvalaskoðunarferðir,hvalaskoðunarferð,ir
814,maturinn,matur,inn
815,veitingaþjónustan,veitingaþjónusta,n
816,aðalverðið,aðalverð,ið
817,dæmið,dæmi,ð
818,millifærsluaðgerðir,millifærsluaðgerð,ir
819,mótvægis,mótvægi,s
820,hækkunar,hækkun,ar
821,verðlags-,verðlag,s-
822,tengingar,tenging,ar
823,bakkgírnum,bakkgír,num
824,gíra,gír,a
825,umhverfismálum,umhverfismál,um
826,nýsköpunar,nýsköpun,ar
827,fullnustuaðgerðir,fullnustuaðgerð,ir
828,stöðvaðar,stöðva,ðar
829,frystar,frysta,r
830,nauðungaruppboðum,nauðungaruppboð,um
831,fresturinn,frestur,inn
832,opnaður,opna,ður
833,vissan,viss,an
834,horfast,horfa,st
835,uppboðum,uppboð,um
836,hefjast,hefja,st
837,náðum,ná,ðum
838,fólkinu,fólk,inu
839,skattahækkunum,skattahækkun,um
840,háþrepi,háþrep,i
841,dreifingin,dreifing,in
842,tekjumörkin,tekjumörk,in
843,lágtekjuþrepinu,lágtekjuþrep,inu
844,dofnar,dofna,r
845,prósentum,prósent,um
846,þrepum,þrep,um
847,hugnast,hugna,st
848,vegurinn,vegur,inn
849,gjánna,gjá,nna
850,leiðandi,leiða,ndi
851,vikið,vik,ið
852,skilgreiningin,skilgreining,in
853,hugsunar,hugsun,ar
854,útgangspunkturinn,útgangspunktur,inn
855,miðhálendisins,miðhálendi,sins
856,umferðarmiðstöðvar,umferðarmiðstöð,var
857,miðhálendinu,miðhálendi,nu
858,skálum,skál,um
859,hálendisbrúninni,hálendisbrún,inni
860,klárað,klára,ð
861,hliðstæðan,hliðstæða,n
862,þróaðist,þróa,ðist
863,súru,súr,u
864,andrúmslofti,andrúmsloft,i
865,stjórnarandstaðan,stjórnarandstaða,n
866,ráðherranna,ráðherra,nna
867,umsögnum,umsögn,um
868,fullklárað,fullklára,ð
869,kverkataki,kverkatak,i
870,málþófi,málþóf,i
871,ýmissa,ýmis,sa
872,mála,mál,a
873,athugasemdir,athugasemd,ir
874,mikilli,mikill,i
875,frjálsrar,frjáls,rar
876,ferðar,ferð,ar
877,landið,land,ið
878,skattkerfinu,skattkerfi,nu
879,álagningu,álagning,u
880,tækið,tæki,ð
881,launin,laun,in
882,launum,laun,um
883,ríkis,ríki,s
884,vísu,vís,u
885,axlað,axla,ð
886,fjármagnað,fjármagna,ð
887,útsvars,útsvar,s
888,útsvarið,útsvar,ið
889,tekjuskattsstofnsins,tekjuskattsstofn,sins
