,full_word,pt1,rest
265,要らされない,要,らされない
266,貸さされる,貸,さされる
267,脱がなかった,脱,がなかった
268,持たせていただきません,持,たせていただきません
269,入られます,入,られます
270,遊んだだろう,遊,んだだろう
271,休まなかったです,休,まなかったです
272,立たれない,立,たれない
273,おかされませんでした,お,かされませんでした
274,押さされました,押,さされました
275,話した,話,した
276,見られました,見,られました
277,押させていただく,押,させていただく
278,有らされませんでした,有,らされませんでした
279,泳ぎたがらなかった,泳,ぎたがらなかった
280,飲ます,飲,ます
281,着かなかったでしょう,着,かなかったでしょう
282,遊ばしませんでした,遊,ばしませんでした
283,送ってください,送,ってください
284,おかなかった,お,かなかった
285,貸させた,貸,させた
286,泳げました,泳,げました
287,切らせていただいた,切,らせていただいた
288,違わなかった,違,わなかった
289,切りたがらない,切,りたがらない
290,寝た,寝,た
291,張りたがります,張,りたがります
292,降れた,降,れた
293,送らない,送,らない
294,買わないでください,買,わないでください
295,切りたがった,切,りたがった
296,登らせた,登,らせた
297,飛ばせます,飛,ばせます
298,出されません,出,されません
299,脱がないで,脱,がないで
300,居たがらない,居,たがらない
301,作りたくなかった,作,りたくなかった
302,見させていただきませんでした,見,させていただきませんでした
303,貸しました,貸,しました
304,出せた,出,せた
305,行かされなかった,行,かされなかった
306,働かせません,働,かせません
307,死なせられなかった,死,なせられなかった
308,遊ばさなかった,遊,ばさなかった
309,渡りましょう,渡,りましょう
310,渡したくなかった,渡,したくなかった
311,会わせていただかない,会,わせていただかない
312,渡らされません,渡,らされません
313,待たされません,待,たされません
314,居られました,居,られました
315,作らなかっただろう,作,らなかっただろう
316,飛んだ,飛,んだ
317,走りましょう,走,りましょう
318,やられませんでした,や,られませんでした
319,乗られます,乗,られます
320,休まれた,休,まれた
321,やりたかった,や,りたかった
322,弾かせられた,弾,かせられた
323,走らされた,走,らされた
324,ならせませんでした,な,らせませんでした
325,寝させていただきます,寝,させていただきます
326,読ませない,読,ませない
327,死にたかった,死,にたかった
328,待たせていただきませんでした,待,たせていただきませんでした
329,住まされなかった,住,まされなかった
330,引かされませんでした,引,かされませんでした
331,着かせられません,着,かせられません
332,知らせられました,知,らせられました
333,立たせない,立,たせない
334,渡った,渡,った
335,引いて,引,いて
336,渡されました,渡,されました
337,居ただろう,居,ただろう
338,吹かせられませんでした,吹,かせられませんでした
339,話せなかった,話,せなかった
340,休もう,休,もう
341,渡れない,渡,れない
342,会わせられなかった,会,わせられなかった
343,張りたくないです,張,りたくないです
344,入らせていただかない,入,らせていただかない
345,引かないで,引,かないで
346,撮らせていただきません,撮,らせていただきません
347,撮りたがりました,撮,りたがりました
348,待てません,待,てません
349,履かないです,履,かないです
350,要られなかった,要,られなかった
351,休みたかったです,休,みたかったです
352,帰ったでしょう,帰,ったでしょう
353,開けなかった,開,けなかった
354,磨かせられました,磨,かせられました
355,吹かせていただきました,吹,かせていただきました
356,並びませんでした,並,びませんでした
357,出さなかったでしょう,出,さなかったでしょう
358,着いたでしょう,着,いたでしょう
359,咲かせませんでした,咲,かせませんでした
360,出さされませんでした,出,さされませんでした
361,飲まなかったでしょう,飲,まなかったでしょう
362,聞かせられない,聞,かせられない
363,弾かされなかった,弾,かされなかった
364,洗われます,洗,われます
365,履いたでしょう,履,いたでしょう
366,送れます,送,れます
367,頼まないです,頼,まないです
368,住みませんでした,住,みませんでした
369,切らせていただかなかった,切,らせていただかなかった
370,頼みました,頼,みました
371,見たかった,見,たかった
372,待ちたくなかった,待,ちたくなかった
373,着たくなかったです,着,たくなかったです
374,かしこまらないだろう,か,しこまらないだろう
375,取りたがった,取,りたがった
376,行かせる,行,かせる
377,かしこまらされない,か,しこまらされない
378,呼ばれた,呼,ばれた
379,走らされませんでした,走,らされませんでした
380,知らせません,知,らせません
381,出しません,出,しません
382,着かせていただきませんでした,着,かせていただきませんでした
383,有られませんでした,有,られませんでした
384,知りたがりません,知,りたがりません
385,押せた,押,せた
386,使われます,使,われます
387,泳ぎたかった,泳,ぎたかった
388,遊びたいです,遊,びたいです
389,洗わないでください,洗,わないでください
390,作らされます,作,らされます
391,話さなかった,話,さなかった
392,話させられません,話,させられません
393,かしこまらせられます,か,しこまらせられます
394,来よう,来,よう
395,引かないだろう,引,かないだろう
396,取らされない,取,らされない
397,出さされません,出,さされません
398,聞きたがりませんでした,聞,きたがりませんでした
399,読ました,読,ました
400,取らないです,取,らないです
401,吸わせません,吸,わせません
402,知らしました,知,らしました
403,乗らします,乗,らします
404,ならせていただきません,な,らせていただきません
405,遊ばせられる,遊,ばせられる
406,脱がされなかった,脱,がされなかった
407,脱がせていただきました,脱,がせていただきました
408,頼まれなかった,頼,まれなかった
409,作らさない,作,らさない
410,弾きたがりました,弾,きたがりました
411,おかされます,お,かされます
412,張らないでください,張,らないでください
413,脱がないでしょう,脱,がないでしょう
414,死なされる,死,なされる
415,降りな,降,りな
416,見させられました,見,させられました
417,弾かされます,弾,かされます
418,切られません,切,られません
419,着かせなかった,着,かせなかった
420,着た,着,た
421,歌わせられました,歌,わせられました
422,吹かされました,吹,かされました
423,吹ける,吹,ける
424,開かれます,開,かれます
425,出したくない,出,したくない
426,消ささなかった,消,ささなかった
427,切らされません,切,らされません
428,歌わされた,歌,わされた
429,歌いました,歌,いました
430,立たされなかった,立,たされなかった
431,困らせていただかなかった,困,らせていただかなかった
432,持たせていただかなかった,持,たせていただかなかった
433,泳ぎたい,泳,ぎたい
434,開かせられた,開,かせられた
435,走らせない,走,らせない
436,違わされなかった,違,わされなかった
437,居させられない,居,させられない
438,知らさなかった,知,らさなかった
439,待たされます,待,たされます
440,居させません,居,させません
441,困らした,困,らした
442,鳴かせました,鳴,かせました
443,立ちたがりません,立,ちたがりません
444,立たなかったです,立,たなかったです
445,要りたがりません,要,りたがりません
446,吸わなかった,吸,わなかった
447,降ります,降,ります
448,話させられた,話,させられた
449,弾かせられませんでした,弾,かせられませんでした
450,有りたがらない,有,りたがらない
451,泳がせられます,泳,がせられます
452,泳ごう,泳,ごう
453,並ばれませんでした,並,ばれませんでした
454,送れませんでした,送,れませんでした
455,困れます,困,れます
456,買わせられる,買,わせられる
457,呼びたがらなかった,呼,びたがらなかった
458,降れなかった,降,れなかった
459,引かしませんでした,引,かしませんでした
460,磨きたいです,磨,きたいです
461,買われます,買,われます
462,座られませんでした,座,られませんでした
463,読まれます,読,まれます
464,歌える,歌,える
465,言わされた,言,わされた
466,死ねなかった,死,ねなかった
467,登らせていただきます,登,らせていただきます
468,要られました,要,られました
469,弾かします,弾,かします
470,呼ばします,呼,ばします
471,知らした,知,らした
472,降ったでしょう,降,ったでしょう
473,使わない,使,わない
474,並びたくなかった,並,びたくなかった
475,履きます,履,きます
476,走られませんでした,走,られませんでした
477,咲かなかっただろう,咲,かなかっただろう
478,言わせていただきます,言,わせていただきます
479,おかせられた,お,かせられた
480,遊べませんでした,遊,べませんでした
481,歩かしません,歩,かしません
482,乗りたがりました,乗,りたがりました
483,使わさなかった,使,わさなかった
484,話しました,話,しました
485,座らせていただきませんでした,座,らせていただきませんでした
486,知りたいです,知,りたいです
487,吸わしました,吸,わしました
488,住みたがりませんでした,住,みたがりませんでした
489,飲ませました,飲,ませました
490,行った,行,った
491,見なかっただろう,見,なかっただろう
492,走りたがらない,走,りたがらない
493,売れませんでした,売,れませんでした
494,履きたがりません,履,きたがりません
495,住ませなかった,住,ませなかった
496,聞かします,聞,かします
497,聞かないでしょう,聞,かないでしょう
498,着させていただきませんでした,着,させていただきませんでした
499,頼めない,頼,めない
500,頼ませられた,頼,ませられた
501,洗わせていただかなかった,洗,わせていただかなかった
502,持たせられます,持,たせられます
503,押された,押,された
504,言われました,言,われました
505,読めない,読,めない
506,着たがらない,着,たがらない
507,撮りませんでした,撮,りませんでした
508,困らせられます,困,らせられます
509,見られます,見,られます
510,洗わないです,洗,わないです
511,居さす,居,さす
512,貸しましょう,貸,しましょう
513,立たなかっただろう,立,たなかっただろう
514,取らさない,取,らさない
515,さして,さ,して
516,返させられました,返,させられました
517,作りました,作,りました
518,押させられた,押,させられた
519,帰りたくなかった,帰,りたくなかった
520,頼まされました,頼,まされました
521,頼みたかったです,頼,みたかったです
522,聞かないです,聞,かないです
523,履きませんでした,履,きませんでした
524,頼まれない,頼,まれない
525,知られました,知,られました
526,泳ぎたがります,泳,ぎたがります
527,取ろう,取,ろう
528,売らなかったでしょう,売,らなかったでしょう
529,切りたくない,切,りたくない
530,ならされます,な,らされます
531,有らさなかった,有,らさなかった
532,行きません,行,きません
533,出させられる,出,させられる
534,着かせていただきます,着,かせていただきます
535,話さしません,話,さしません
536,やれなかった,や,れなかった
537,行かせられた,行,かせられた
538,会わせられた,会,わせられた
539,吹きたがりませんでした,吹,きたがりませんでした
540,休まない,休,まない
541,呼びたかった,呼,びたかった
542,冠らせていただく,冠,らせていただく
543,取らせられません,取,らせられません
544,持たせていただく,持,たせていただく
545,押したい,押,したい
546,来い,来,い
547,聞きたがらない,聞,きたがらない
548,働かされませんでした,働,かされませんでした
549,来たいです,来,たいです
550,降らない,降,らない
551,出したがる,出,したがる
552,並ばされました,並,ばされました
553,買って,買,って
554,泳がせました,泳,がせました
555,入りたかったです,入,りたかったです
556,出したがらない,出,したがらない
557,困らされます,困,らされます
558,張りませんでした,張,りませんでした
559,磨かせられません,磨,かせられません
560,吸われた,吸,われた
561,引かせない,引,かせない
562,咲きたいです,咲,きたいです
563,押されない,押,されない
564,死にたい,死,にたい
565,働けた,働,けた
566,脱いだでしょう,脱,いだでしょう
567,読ませませんでした,読,ませませんでした
568,登らないでください,登,らないでください
569,なった,な,った
570,頼めます,頼,めます
571,なれませんでした,な,れませんでした
572,泳がれなかった,泳,がれなかった
573,引かしません,引,かしません
574,返させません,返,させません
575,書きましょう,書,きましょう
576,かしこまりたがります,か,しこまりたがります
577,走れない,走,れない
578,貸された,貸,された
579,立たせませんでした,立,たせませんでした
580,住ませる,住,ませる
581,売らさない,売,らさない
582,書けます,書,けます
583,鳴きなさい,鳴,きなさい
584,知らなかった,知,らなかった
585,言わしませんでした,言,わしませんでした
586,冠れます,冠,れます
587,貸させられなかった,貸,させられなかった
588,聞きたかった,聞,きたかった
589,読まないです,読,まないです
590,履かせられる,履,かせられる
591,吸わされます,吸,わされます
592,住みな,住,みな
593,居させられました,居,させられました
594,咲かせていただかない,咲,かせていただかない
595,書きました,書,きました
596,作らせていただいた,作,らせていただいた
597,死なせられた,死,なせられた
598,帰りません,帰,りません
599,売らないです,売,らないです
600,吸えた,吸,えた
601,売りたくない,売,りたくない
602,張らしませんでした,張,らしませんでした
603,立たした,立,たした
604,行かせます,行,かせます
605,吸わせていただきます,吸,わせていただきます
606,呼べませんでした,呼,べませんでした
607,かしこまって,か,しこまって
608,話さないでしょう,話,さないでしょう
609,切れません,切,れません
610,送らなかっただろう,送,らなかっただろう
611,洗わなかった,洗,わなかった
612,歌わさない,歌,わさない
613,着かれません,着,かれません
614,渡ろう,渡,ろう
615,行かなかったです,行,かなかったです
616,買わせませんでした,買,わせませんでした
617,引けませんでした,引,けませんでした
618,居たい,居,たい
619,出たがります,出,たがります
620,見させられなかった,見,させられなかった
621,違われません,違,われません
622,見させません,見,させません
623,飛びたがる,飛,びたがる
624,履きたい,履,きたい
625,かしこまらせません,か,しこまらせません
626,取りました,取,りました
627,引かされない,引,かされない
628,消したがりませんでした,消,したがりませんでした
629,着かします,着,かします
630,撮れました,撮,れました
631,さしたがりません,さ,したがりません
632,行かせられる,行,かせられる
633,言いたくないです,言,いたくないです
634,死なれます,死,なれます
635,切らないでしょう,切,らないでしょう
636,渡らさなかった,渡,らさなかった
637,乗りたがりません,乗,りたがりません
638,行きたがります,行,きたがります
639,飲みたがらない,飲,みたがらない
640,降らせていただきます,降,らせていただきます
641,要らないで,要,らないで
642,出たい,出,たい
643,持たせなかった,持,たせなかった
644,書きたがる,書,きたがる
645,売らせていただきませんでした,売,らせていただきませんでした
646,ありたがりません,あ,りたがりません
647,困りたがりません,困,りたがりません
648,待たなかったです,待,たなかったです
649,見よう,見,よう
650,作れなかった,作,れなかった
651,泳ぎたくない,泳,ぎたくない
652,売らせていただきました,売,らせていただきました
653,持たせない,持,たせない
654,待とう,待,とう
655,並べ,並,べ
656,帰れなかった,帰,れなかった
657,使いたがりません,使,いたがりません
658,呼ばせていただきません,呼,ばせていただきません
659,冠らさない,冠,らさない
660,切らせられます,切,らせられます
661,消させていただきませんでした,消,させていただきませんでした
662,見たくなかった,見,たくなかった
663,会わせた,会,わせた
664,張りたくない,張,りたくない
665,居たがった,居,たがった
666,かしこまった,か,しこまった
667,引きたかったです,引,きたかったです
668,休まされません,休,まされません
669,張られない,張,られない
670,洗わせられませんでした,洗,わせられませんでした
671,消せました,消,せました
672,着いただろう,着,いただろう
673,違わせていただいた,違,わせていただいた
674,させる,さ,せる
675,出したでしょう,出,したでしょう
676,吸えません,吸,えません
677,出たくない,出,たくない
678,弾かされました,弾,かされました
679,読みたがりました,読,みたがりました
680,困れませんでした,困,れませんでした
681,着かれない,着,かれない
682,冠らなかったでしょう,冠,らなかったでしょう
683,降らせていただきませんでした,降,らせていただきませんでした
684,押させていただきませんでした,押,させていただきませんでした
685,寝さした,寝,さした
686,着かせられませんでした,着,かせられませんでした
687,吹かなかった,吹,かなかった
688,作らせられました,作,らせられました
689,咲きたがらなかった,咲,きたがらなかった
690,弾きたかった,弾,きたかった
691,ならしました,な,らしました
692,会われました,会,われました
693,押したくない,押,したくない
694,冠らない,冠,らない
695,冠らせませんでした,冠,らせませんでした
696,来たがります,来,たがります
697,登りたがりませんでした,登,りたがりませんでした
698,消したくない,消,したくない
699,言わせない,言,わせない
700,作っただろう,作,っただろう
701,鳴きたがる,鳴,きたがる
702,返させていただかない,返,させていただかない
703,歩け,歩,け
704,開きたかったです,開,きたかったです
705,違わされません,違,わされません
706,渡らせない,渡,らせない
707,弾かせなかった,弾,かせなかった
708,言わせていただきませんでした,言,わせていただきませんでした
709,住みたかった,住,みたかった
710,履かせられました,履,かせられました
711,取られませんでした,取,られませんでした
712,乗らさない,乗,らさない
713,聞きましょう,聞,きましょう
714,行かされます,行,かされます
715,見さしませんでした,見,さしませんでした
716,死にな,死,にな
717,磨かしませんでした,磨,かしませんでした
718,座りたかった,座,りたかった
719,泳がせない,泳,がせない
720,張れない,張,れない
721,買わされなかった,買,わされなかった
722,住めませんでした,住,めませんでした
723,降らせなかった,降,らせなかった
724,呼ばせました,呼,ばせました
725,会われません,会,われません
726,出ないです,出,ないです
727,着かれます,着,かれます
728,持てなかった,持,てなかった
729,書かしませんでした,書,かしませんでした
730,寝ささない,寝,ささない
731,返させていただいた,返,させていただいた
732,出させません,出,させません
733,座らないです,座,らないです
734,売らせられませんでした,売,らせられませんでした
735,磨かされなかった,磨,かされなかった
736,困らせていただく,困,らせていただく
737,鳴かせません,鳴,かせません
738,座らないだろう,座,らないだろう
739,渡らないだろう,渡,らないだろう
740,脱げませんでした,脱,げませんでした
741,歌いたがらない,歌,いたがらない
742,弾かせられない,弾,かせられない
743,聞かされませんでした,聞,かされませんでした
744,おかせました,お,かせました
745,渡りたがりました,渡,りたがりました
746,買わせました,買,わせました
747,言わした,言,わした
748,知ってください,知,ってください
749,飛びました,飛,びました
750,知らせていただく,知,らせていただく
751,吸えました,吸,えました
752,冠らされた,冠,らされた
753,張れませんでした,張,れませんでした
754,行かされない,行,かされない
755,飲みたかった,飲,みたかった
756,有らします,有,らします
757,有って,有,って
758,やって,や,って
759,消ささない,消,ささない
760,吹きたいです,吹,きたいです
761,買わせた,買,わせた
762,押させた,押,させた
763,帰らさない,帰,らさない
764,待たせなかった,待,たせなかった
765,帰らせていただきました,帰,らせていただきました
766,吹きたかったです,吹,きたかったです
767,要られません,要,られません
768,開かせる,開,かせる
769,会えません,会,えません
770,おかなかったです,お,かなかったです
771,見られません,見,られません
772,かしこまられました,か,しこまられました
773,会われた,会,われた
774,消されない,消,されない
775,取れませんでした,取,れませんでした
776,並んだ,並,んだ
777,使いたがりませんでした,使,いたがりませんでした
778,座りたがりません,座,りたがりません
779,返さないで,返,さないで
780,脱がれない,脱,がれない
781,座らせられなかった,座,らせられなかった
782,張らさない,張,らさない
783,要らされます,要,らされます
784,飲ませない,飲,ませない
785,乗ろう,乗,ろう
786,立ちたがらない,立,ちたがらない
787,売りましょう,売,りましょう
788,渡させた,渡,させた
789,作らないだろう,作,らないだろう
790,違いたがりません,違,いたがりません
791,話さないで,話,さないで
792,送らせられない,送,らせられない
793,言いたがらない,言,いたがらない
794,出させていただきません,出,させていただきません
795,読まれる,読,まれる
796,有らされない,有,らされない
797,並ばれます,並,ばれます
798,行かないで,行,かないで
799,磨かないです,磨,かないです
800,開かせませんでした,開,かせませんでした
801,行ける,行,ける
802,おきたかったです,お,きたかったです
803,吹けた,吹,けた
804,飛ばせていただかなかった,飛,ばせていただかなかった
805,入らせられなかった,入,らせられなかった
806,渡さされる,渡,さされる
807,読ます,読,ます
808,走りたかった,走,りたかった
809,来ささなかった,来,ささなかった
810,送りたがった,送,りたがった
811,知りたがった,知,りたがった
812,出さされなかった,出,さされなかった
813,待ちたがりました,待,ちたがりました
814,吸わさない,吸,わさない
815,消させなかった,消,させなかった
816,咲かせました,咲,かせました
817,作らされました,作,らされました
818,座れません,座,れません
819,吹いたでしょう,吹,いたでしょう
820,歩かせていただかない,歩,かせていただかない
821,入らされません,入,らされません
822,履け,履,け
823,並びたがりました,並,びたがりました
824,呼びませんでした,呼,びませんでした
825,聞かせていただきます,聞,かせていただきます
826,頼まされません,頼,まされません
827,降らせます,降,らせます
828,会いたくないです,会,いたくないです
829,書かした,書,かした
830,降りません,降,りません
831,持たなかっただろう,持,たなかっただろう
832,書かれる,書,かれる
833,買わないで,買,わないで
834,ならせられませんでした,な,らせられませんでした
835,走らした,走,らした
836,書かせた,書,かせた
837,出られません,出,られません
838,並びたがらない,並,びたがらない
839,消さしました,消,さしました
840,見られませんでした,見,られませんでした
841,読ませました,読,ませました
842,脱ぎたくないです,脱,ぎたくないです
843,貸さなかっただろう,貸,さなかっただろう
844,持って,持,って
845,かしこまりたがりません,か,しこまりたがりません
846,送られます,送,られます
847,居たがりません,居,たがりません
848,履けます,履,けます
849,並ばないでください,並,ばないでください
850,持ってください,持,ってください
851,渡しましょう,渡,しましょう
852,頼まなかったでしょう,頼,まなかったでしょう
853,出ろ,出,ろ
854,撮らせていただきます,撮,らせていただきます
855,歌わせません,歌,わせません
856,持ちたがる,持,ちたがる
857,切りませんでした,切,りませんでした
858,話さされない,話,さされない
859,渡っただろう,渡,っただろう
860,かしこまれない,か,しこまれない
861,鳴きたい,鳴,きたい
862,立たせていただいた,立,たせていただいた
863,言わせられない,言,わせられない
864,着ないです,着,ないです
865,遊ばせます,遊,ばせます
866,乗らせた,乗,らせた
867,脱がせられた,脱,がせられた
868,書ける,書,ける
869,聞けた,聞,けた
870,返ささない,返,ささない
871,寝ないだろう,寝,ないだろう
872,降って,降,って
873,着ないでしょう,着,ないでしょう
874,呼ばさない,呼,ばさない
875,おいて,お,いて
876,読まされる,読,まされる
877,貸させていただいた,貸,させていただいた
878,乗れませんでした,乗,れませんでした
879,返させていただく,返,させていただく
880,取りたがらない,取,りたがらない
881,並びたくない,並,びたくない
882,困って,困,って
883,磨かせられた,磨,かせられた
884,磨かせていただきます,磨,かせていただきます
885,居させられません,居,させられません
886,吸いたがらなかった,吸,いたがらなかった
887,押さないでください,押,さないでください
888,書かせていただかなかった,書,かせていただかなかった
